"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"UNION POR EL PERU","6","2.553%","1.869%","AMAZONAS","BONGARA","SAN CARLOS"
"RENOVACION POPULAR","19","8.085%","5.919%","AMAZONAS","BONGARA","SAN CARLOS"
"RENACIMIENTO UNIDO NACIONAL","2","0.851%","0.623%","AMAZONAS","BONGARA","SAN CARLOS"
"PARTIDO DEMOCRATICO SOMOS PERU","2","0.851%","0.623%","AMAZONAS","BONGARA","SAN CARLOS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","62","26.383%","19.315%","AMAZONAS","BONGARA","SAN CARLOS"
"DEMOCRACIA DIRECTA","2","0.851%","0.623%","AMAZONAS","BONGARA","SAN CARLOS"
"ALIANZA PARA EL PROGRESO","33","14.043%","10.280%","AMAZONAS","BONGARA","SAN CARLOS"
"PARTIDO NACIONALISTA PERUANO","41","7.093%","4.530%","AMAZONAS","BONGARA","SHIPASBAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","0.865%","0.552%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PARTIDO MORADO","6","1.038%","0.663%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PERU PATRIA SEGURA","1","0.173%","0.110%","AMAZONAS","BONGARA","SHIPASBAMBA"
"VICTORIA NACIONAL","20","3.460%","2.210%","AMAZONAS","BONGARA","SHIPASBAMBA"
"ACCION POPULAR","52","8.997%","5.746%","AMAZONAS","BONGARA","SHIPASBAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","23","3.979%","2.541%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PODEMOS PERU","23","3.979%","2.541%","AMAZONAS","BONGARA","SHIPASBAMBA"
"JUNTOS POR EL PERU","56","9.689%","6.188%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.346%","0.221%","AMAZONAS","BONGARA","SHIPASBAMBA"
"FUERZA POPULAR","74","12.803%","8.177%","AMAZONAS","BONGARA","SHIPASBAMBA"
"UNION POR EL PERU","10","1.730%","1.105%","AMAZONAS","BONGARA","SHIPASBAMBA"
"RENOVACION POPULAR","24","4.152%","2.652%","AMAZONAS","BONGARA","SHIPASBAMBA"
"RENACIMIENTO UNIDO NACIONAL","2","0.346%","0.221%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","6","1.038%","0.663%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","205","35.467%","22.652%","AMAZONAS","BONGARA","SHIPASBAMBA"
"DEMOCRACIA DIRECTA","2","0.346%","0.221%","AMAZONAS","BONGARA","SHIPASBAMBA"
"ALIANZA PARA EL PROGRESO","26","4.498%","2.873%","AMAZONAS","BONGARA","SHIPASBAMBA"
"PARTIDO NACIONALISTA PERUANO","33","7.383%","5.455%","AMAZONAS","BONGARA","VALERA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","4","0.895%","0.661%","AMAZONAS","BONGARA","VALERA"
"PARTIDO MORADO","10","2.237%","1.653%","AMAZONAS","BONGARA","VALERA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","AMAZONAS","BONGARA","VALERA"
"VICTORIA NACIONAL","17","3.803%","2.810%","AMAZONAS","BONGARA","VALERA"
"ACCION POPULAR","34","7.606%","5.620%","AMAZONAS","BONGARA","VALERA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","10","2.237%","1.653%","AMAZONAS","BONGARA","VALERA"
"PODEMOS PERU","14","3.132%","2.314%","AMAZONAS","BONGARA","VALERA"
"JUNTOS POR EL PERU","56","12.528%","9.256%","AMAZONAS","BONGARA","VALERA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.224%","0.165%","AMAZONAS","BONGARA","VALERA"
"FUERZA POPULAR","119","26.622%","19.669%","AMAZONAS","BONGARA","VALERA"
"UNION POR EL PERU","2","0.447%","0.331%","AMAZONAS","BONGARA","VALERA"
"RENOVACION POPULAR","34","7.606%","5.620%","AMAZONAS","BONGARA","VALERA"
"RENACIMIENTO UNIDO NACIONAL","4","0.895%","0.661%","AMAZONAS","BONGARA","VALERA"
"PARTIDO DEMOCRATICO SOMOS PERU","3","0.671%","0.496%","AMAZONAS","BONGARA","VALERA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","59","13.199%","9.752%","AMAZONAS","BONGARA","VALERA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","AMAZONAS","BONGARA","VALERA"
"ALIANZA PARA EL PROGRESO","47","10.515%","7.769%","AMAZONAS","BONGARA","VALERA"
"PARTIDO NACIONALISTA PERUANO","41","2.142%","1.543%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","17","0.888%","0.640%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PARTIDO MORADO","20","1.045%","0.752%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PERU PATRIA SEGURA","7","0.366%","0.263%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"VICTORIA NACIONAL","44","2.299%","1.655%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"ACCION POPULAR","198","10.345%","7.449%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","52","2.717%","1.956%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PODEMOS PERU","22","1.149%","0.828%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"JUNTOS POR EL PERU","95","4.963%","3.574%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.052%","0.038%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"FUERZA POPULAR","307","16.040%","11.550%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"UNION POR EL PERU","28","1.463%","1.053%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"RENOVACION POPULAR","97","5.068%","3.649%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"RENACIMIENTO UNIDO NACIONAL","9","0.470%","0.339%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","22","1.149%","0.828%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","842","43.992%","31.678%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"DEMOCRACIA DIRECTA","2","0.104%","0.075%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"ALIANZA PARA EL PROGRESO","110","5.747%","4.138%","AMAZONAS","BONGARA","YAMBRASBAMBA"
"PARTIDO NACIONALISTA PERUANO","15","16.667%","13.158%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PARTIDO MORADO","2","2.222%","1.754%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PERU PATRIA SEGURA","1","1.111%","0.877%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"VICTORIA NACIONAL","8","8.889%","7.018%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"ACCION POPULAR","17","18.889%","14.912%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","1","1.111%","0.877%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PODEMOS PERU","2","2.222%","1.754%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"JUNTOS POR EL PERU","6","6.667%","5.263%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"FUERZA POPULAR","6","6.667%","5.263%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"UNION POR EL PERU","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"RENOVACION POPULAR","6","6.667%","5.263%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"RENACIMIENTO UNIDO NACIONAL","1","1.111%","0.877%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PARTIDO DEMOCRATICO SOMOS PERU","3","3.333%","2.632%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PARTIDO POLITICO NACIONAL PERU LIBRE","14","15.556%","12.281%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"ALIANZA PARA EL PROGRESO","8","8.889%","7.018%","AMAZONAS","CHACHAPOYAS","ASUNCION"
"PARTIDO NACIONALISTA PERUANO","9","2.528%","1.786%","AMAZONAS","CHACHAPOYAS","BALSAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3","0.843%","0.595%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PARTIDO MORADO","5","1.404%","0.992%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PERU PATRIA SEGURA","1","0.281%","0.198%","AMAZONAS","CHACHAPOYAS","BALSAS"
"VICTORIA NACIONAL","25","7.022%","4.960%","AMAZONAS","CHACHAPOYAS","BALSAS"
"ACCION POPULAR","52","14.607%","10.317%","AMAZONAS","CHACHAPOYAS","BALSAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","4","1.124%","0.794%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PODEMOS PERU","2","0.562%","0.397%","AMAZONAS","CHACHAPOYAS","BALSAS"
"JUNTOS POR EL PERU","28","7.865%","5.556%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.281%","0.198%","AMAZONAS","CHACHAPOYAS","BALSAS"
"FUERZA POPULAR","49","13.764%","9.722%","AMAZONAS","CHACHAPOYAS","BALSAS"
"UNION POR EL PERU","2","0.562%","0.397%","AMAZONAS","CHACHAPOYAS","BALSAS"
"RENOVACION POPULAR","21","5.899%","4.167%","AMAZONAS","CHACHAPOYAS","BALSAS"
"RENACIMIENTO UNIDO NACIONAL","2","0.562%","0.397%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PARTIDO DEMOCRATICO SOMOS PERU","10","2.809%","1.984%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","117","32.865%","23.214%","AMAZONAS","CHACHAPOYAS","BALSAS"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","BALSAS"
"ALIANZA PARA EL PROGRESO","25","7.022%","4.960%","AMAZONAS","CHACHAPOYAS","BALSAS"
"PARTIDO NACIONALISTA PERUANO","182","1.662%","1.336%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","112","1.023%","0.822%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PARTIDO MORADO","281","2.567%","2.063%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PERU PATRIA SEGURA","35","0.320%","0.257%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"VICTORIA NACIONAL","630","5.754%","4.626%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"ACCION POPULAR","1,338","12.221%","9.825%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","1,132","10.340%","8.312%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PODEMOS PERU","333","3.042%","2.445%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"JUNTOS POR EL PERU","1,314","12.002%","9.648%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PARTIDO POPULAR CRISTIANO - PPC","125","1.142%","0.918%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"FUERZA POPULAR","1,222","11.162%","8.973%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"UNION POR EL PERU","30","0.274%","0.220%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"RENOVACION POPULAR","1,225","11.189%","8.995%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"RENACIMIENTO UNIDO NACIONAL","36","0.329%","0.264%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PARTIDO DEMOCRATICO SOMOS PERU","213","1.946%","1.564%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","1,695","15.482%","12.446%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"DEMOCRACIA DIRECTA","36","0.329%","0.264%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"ALIANZA PARA EL PROGRESO","1,009","9.216%","7.409%","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"PARTIDO NACIONALISTA PERUANO","29","9.797%","7.056%","AMAZONAS","CHACHAPOYAS","CHETO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","18","6.081%","4.380%","AMAZONAS","CHACHAPOYAS","CHETO"
"PARTIDO MORADO","4","1.351%","0.973%","AMAZONAS","CHACHAPOYAS","CHETO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","CHETO"
"VICTORIA NACIONAL","9","3.041%","2.190%","AMAZONAS","CHACHAPOYAS","CHETO"
"ACCION POPULAR","47","15.878%","11.436%","AMAZONAS","CHACHAPOYAS","CHETO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","14","4.730%","3.406%","AMAZONAS","CHACHAPOYAS","CHETO"
"PODEMOS PERU","2","0.676%","0.487%","AMAZONAS","CHACHAPOYAS","CHETO"
"JUNTOS POR EL PERU","37","12.500%","9.002%","AMAZONAS","CHACHAPOYAS","CHETO"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.676%","0.487%","AMAZONAS","CHACHAPOYAS","CHETO"
"FUERZA POPULAR","29","9.797%","7.056%","AMAZONAS","CHACHAPOYAS","CHETO"
"UNION POR EL PERU","1","0.338%","0.243%","AMAZONAS","CHACHAPOYAS","CHETO"
"RENOVACION POPULAR","26","8.784%","6.326%","AMAZONAS","CHACHAPOYAS","CHETO"
"RENACIMIENTO UNIDO NACIONAL","1","0.338%","0.243%","AMAZONAS","CHACHAPOYAS","CHETO"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.338%","0.243%","AMAZONAS","CHACHAPOYAS","CHETO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","44","14.865%","10.706%","AMAZONAS","CHACHAPOYAS","CHETO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","CHETO"
"ALIANZA PARA EL PROGRESO","32","10.811%","7.786%","AMAZONAS","CHACHAPOYAS","CHETO"
"PARTIDO NACIONALISTA PERUANO","14","6.364%","4.321%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","0.909%","0.617%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PARTIDO MORADO","1","0.455%","0.309%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PERU PATRIA SEGURA","1","0.455%","0.309%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"VICTORIA NACIONAL","2","0.909%","0.617%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"ACCION POPULAR","28","12.727%","8.642%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","3","1.364%","0.926%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PODEMOS PERU","2","0.909%","0.617%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"JUNTOS POR EL PERU","14","6.364%","4.321%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"FUERZA POPULAR","88","40.000%","27.160%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"UNION POR EL PERU","1","0.455%","0.309%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"RENOVACION POPULAR","6","2.727%","1.852%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"RENACIMIENTO UNIDO NACIONAL","3","1.364%","0.926%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PARTIDO DEMOCRATICO SOMOS PERU","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PARTIDO POLITICO NACIONAL PERU LIBRE","41","18.636%","12.654%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"DEMOCRACIA DIRECTA","2","0.909%","0.617%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"ALIANZA PARA EL PROGRESO","12","5.455%","3.704%","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"PARTIDO NACIONALISTA PERUANO","9","2.153%","1.404%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","3.110%","2.028%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PARTIDO MORADO","6","1.435%","0.936%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"VICTORIA NACIONAL","27","6.459%","4.212%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"ACCION POPULAR","54","12.919%","8.424%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","1","0.239%","0.156%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PODEMOS PERU","2","0.478%","0.312%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"JUNTOS POR EL PERU","56","13.397%","8.736%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.239%","0.156%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"FUERZA POPULAR","125","29.904%","19.501%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"UNION POR EL PERU","3","0.718%","0.468%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"RENOVACION POPULAR","13","3.110%","2.028%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"RENACIMIENTO UNIDO NACIONAL","4","0.957%","0.624%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","6","1.435%","0.936%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","60","14.354%","9.360%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"DEMOCRACIA DIRECTA","3","0.718%","0.468%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"ALIANZA PARA EL PROGRESO","35","8.373%","5.460%","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"PARTIDO NACIONALISTA PERUANO","11","4.867%","3.806%","AMAZONAS","CHACHAPOYAS","GRANADA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.442%","0.346%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PARTIDO MORADO","8","3.540%","2.768%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","GRANADA"
"VICTORIA NACIONAL","4","1.770%","1.384%","AMAZONAS","CHACHAPOYAS","GRANADA"
"ACCION POPULAR","18","7.965%","6.228%","AMAZONAS","CHACHAPOYAS","GRANADA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","8","3.540%","2.768%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PODEMOS PERU","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","GRANADA"
"JUNTOS POR EL PERU","24","10.619%","8.304%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","GRANADA"
"FUERZA POPULAR","39","17.257%","13.495%","AMAZONAS","CHACHAPOYAS","GRANADA"
"UNION POR EL PERU","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","GRANADA"
"RENOVACION POPULAR","17","7.522%","5.882%","AMAZONAS","CHACHAPOYAS","GRANADA"
"RENACIMIENTO UNIDO NACIONAL","1","0.442%","0.346%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PARTIDO DEMOCRATICO SOMOS PERU","2","0.885%","0.692%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","79","34.956%","27.336%","AMAZONAS","CHACHAPOYAS","GRANADA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","GRANADA"
"ALIANZA PARA EL PROGRESO","14","6.195%","4.844%","AMAZONAS","CHACHAPOYAS","GRANADA"
"PARTIDO NACIONALISTA PERUANO","22","9.524%","7.120%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","2.165%","1.618%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PARTIDO MORADO","7","3.030%","2.265%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PERU PATRIA SEGURA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"VICTORIA NACIONAL","19","8.225%","6.149%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"ACCION POPULAR","30","12.987%","9.709%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","2","0.866%","0.647%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PODEMOS PERU","5","2.165%","1.618%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"JUNTOS POR EL PERU","13","5.628%","4.207%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.433%","0.324%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"FUERZA POPULAR","35","15.152%","11.327%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"UNION POR EL PERU","1","0.433%","0.324%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"RENOVACION POPULAR","15","6.494%","4.854%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"RENACIMIENTO UNIDO NACIONAL","3","1.299%","0.971%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PARTIDO DEMOCRATICO SOMOS PERU","2","0.866%","0.647%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","54","23.377%","17.476%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"DEMOCRACIA DIRECTA","1","0.433%","0.324%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"ALIANZA PARA EL PROGRESO","16","6.926%","5.178%","AMAZONAS","CHACHAPOYAS","HUANCAS"
"PARTIDO NACIONALISTA PERUANO","160","8.899%","6.077%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","45","2.503%","1.709%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PARTIDO MORADO","21","1.168%","0.798%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PERU PATRIA SEGURA","6","0.334%","0.228%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"VICTORIA NACIONAL","56","3.115%","2.127%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"ACCION POPULAR","168","9.344%","6.381%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","36","2.002%","1.367%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PODEMOS PERU","38","2.113%","1.443%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"JUNTOS POR EL PERU","287","15.962%","10.900%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PARTIDO POPULAR CRISTIANO - PPC","6","0.334%","0.228%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"FUERZA POPULAR","107","5.951%","4.064%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"UNION POR EL PERU","15","0.834%","0.570%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"RENOVACION POPULAR","75","4.171%","2.848%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"RENACIMIENTO UNIDO NACIONAL","15","0.834%","0.570%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PARTIDO DEMOCRATICO SOMOS PERU","26","1.446%","0.987%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","564","31.368%","21.420%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"ALIANZA PARA EL PROGRESO","173","9.622%","6.570%","AMAZONAS","CHACHAPOYAS","LA JALCA"
"PARTIDO NACIONALISTA PERUANO","45","3.937%","2.852%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","20","1.750%","1.267%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"PARTIDO MORADO","14","1.225%","0.887%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"PERU PATRIA SEGURA","4","0.350%","0.253%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"VICTORIA NACIONAL","44","3.850%","2.788%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"ACCION POPULAR","178","15.573%","11.280%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","82","7.174%","5.196%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"PODEMOS PERU","22","1.925%","1.394%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"JUNTOS POR EL PERU","119","10.411%","7.541%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"PARTIDO POPULAR CRISTIANO - PPC","3","0.262%","0.190%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"FUERZA POPULAR","148","12.948%","9.379%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"UNION POR EL PERU","2","0.175%","0.127%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"RENOVACION POPULAR","96","8.399%","6.084%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"RENACIMIENTO UNIDO NACIONAL","3","0.262%","0.190%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"PARTIDO DEMOCRATICO SOMOS PERU","48","4.199%","3.042%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","215","18.810%","13.625%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"DEMOCRACIA DIRECTA","4","0.350%","0.253%","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
